Y,X,Pop01_percent,Pop02_percent,Pop03_percent,Pop04_percent,Pop05_percent,Pop06_percent,Pop07_percent,Pop08_percent,Pop09_percent,Pop10_percent
-12.9152342,-38.4243366,0.17622342 ,0.39288828 ,0.30083195 ,0.10874668 ,0.01923369 ,0.00201939 ,0.00005659 ,0.00000000 ,0.00000000 ,0.00000000 
-13.3971295,-44.1986538,0.07430436 ,0.90108921 ,0.02460643 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-12.9698866,-39.2599373,0.21209346 ,0.78450066 ,0.00340588 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-12.4350293,-39.2530172,0.02236989 ,0.88905511 ,0.08746173 ,0.00111328 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-10.4564231,-40.1870133,0.61618488 ,0.38381512 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-14.8685914,-40.8479016,0.53461125 ,0.44907933 ,0.01623890 ,0.00007053 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-5.1259347,-39.7316171,0.79251766 ,0.20748234 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-4.3559897,-39.3176638,0.21501531 ,0.77094656 ,0.01403813 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-4.1293651,-38.2429107,0.02687562 ,0.81050984 ,0.16216094 ,0.00045360 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-5.1762524,-40.6644009,0.70416568 ,0.29583432 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-7.2440608,-39.4029687,0.36516171 ,0.60161852 ,0.03321977 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
-3.7945179,-38.5697988,0.11418303 ,0.59669405 ,0.22007204 ,0.05947468 ,0.00843658 ,0.00094447 ,0.00019515 ,0.00000000 ,0.00000000 ,0.00000000 
-4.1047045,-38.4953605,0.00677311 ,0.61387193 ,0.37920275 ,0.00015220 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 ,0.00000000 
