"","min","max","coef","pval","group","tag"
"UTC500",0.0282994298490204,0.0350743726814282,0.0316869012652243,4.46584050444623e-75,"A","1"
"UTC5001",0.0287406224140547,0.0357011513534494,0.0322208868837521,1.39426346064249e-73,"B","1"
"UTC5002",0.0262306237301291,0.0327625920762839,0.0294966079032065,4.10878067865681e-70,"C","1"
"UTC5003",0.0263966896801861,0.0329896653380621,0.0296931775091241,9.44280971949523e-70,"D","1"
