"","min","max","coef","pval","group","tag","character"
"UTC500",0.0245139717091253,0.0294357969152337,0.0269748843121795,2.22262823001126e-102,"A","1","00 am~06 am"
"UTC5001",0.0706318143713818,0.0781905390957381,0.07441117673356,0,"B","1","06 am~09 am"
"UTC5002",0.0337578724204225,0.039121431493077,0.0364396519567497,2.96666856357521e-156,"C","1","09 am~12 am"
"UTC5003",0.0225379270879601,0.0276969478234367,0.0251174374556984,3.3976635458296e-81,"D","1","12 am~15 pm"
"UTC5004",0.0143986560453334,0.0197537814665058,0.0170762187559196,7.49819968664687e-36,"E","1","15 pm ~18 pm "
"UTC5005",0.0262017520452653,0.031380360747463,0.0287910563963641,2.70845103316344e-105,"F","1","18 pm ~21 pm"
"UTC5006",0.037679483851513,0.0431073926271454,0.0403934382393292,4.59663416826395e-187,"G","1","21 pm~24 pm"
