"","min","max","coef","pval","group","tag","character"
"UTC500",0.200612829962865,0.211605056798702,0.206108943380783,0,"A","1","Small city"
"UTC5001",0.128051340792203,0.135691805130041,0.131871572961122,0,"B","1","Medium city"
"UTC5002",0.149490360993275,0.156932491697159,0.153211426345217,0,"C","1","Large city"
"UTC5003",0.134570296577632,0.140597464371013,0.137583880474322,0,"D","1","Megacity"
