"","min","max","coef","pval","group","tag","character"
"UTC500",0.00664744645348789,0.0246799187822603,0.0156636826178741,0.000661650958925597,"A","1","North Brazil"
"UTC5001",0.0106333007941529,0.0206945570359088,0.0156639289150308,1.04254387370249e-09,"B","1","Northeast Brazil"
"UTC5002",0.0325946251873446,0.0383680216394431,0.0354813234133938,3.17850539583543e-128,"C","1","Southeast Brazil"
"UTC5003",0.0525397659219692,0.0645126822714565,0.0585262240967128,7.80298154000323e-82,"D","1","Centralwest Brazil"
"UTC5004",0.0196172882252917,0.0303839303541771,0.0250006092897344,8.85063736703794e-20,"E","1","South Brazil"
