"","min","max","coef","pval","group","tag","character"
"UTC500",0.119133277820921,0.126208875530415,0.122671076675668,0,"A","1","<5000$"
"UTC5001",0.119760055189429,0.124974363288628,0.122367209239028,0,"B","1","5000$~10000$"
"UTC5002",0.124435103291134,0.129327106251829,0.126881104771482,0,"C","1","10000$~15000$"
"UTC5003",0.160372589037171,0.168682766152248,0.16452767759471,0,"D","1","> 15000$"
